Plateforme,Asset,Quote,Datetime
Kraken,xbt/eur,8894.50000,1600941950.948253
Kraken,xbt/eur,8894.50000,1600941951.104222
Kraken,eth/eur,282.36000,1600941955.011554
Kraken,xbt/eur,8894.40000,1600941956.665152
Kraken,xbt/eur,8894.10000,1600941957.611408
Kraken,xbt/eur,8894.10000,1600941957.798042
Kraken,xbt/eur,8894.10000,1600941959.151021
Kraken,xbt/eur,8894.40000,1600941960.672800
Kraken,eth/eur,282.38000,1600941965.139805
Kraken,xbt/eur,8893.30000,1600941970.946709
Kraken,xbt/eur,8894.40000,1600941972.508134
Kraken,xbt/eur,8894.80000,1600941976.048093
Kraken,xbt/eur,8895.10000,1600941977.856011
Kraken,xbt/eur,8894.60000,1600941988.123686
Kraken,xbt/eur,8894.80000,1600941990.395960
Kraken,xbt/eur,8894.90000,1600941991.417118
Kraken,xbt/eur,8895.00000,1600941993.761411
Kraken,xbt/eur,8895.00000,1600941993.908161
Kraken,xbt/eur,8895.00000,1600941993.956679
Kraken,xbt/eur,8893.20000,1600941997.767325
Kraken,xbt/eur,8893.00000,1600942013.194662
Kraken,xbt/usd,10327.70000,1600942013.273272
Kraken,eth/eur,282.39000,1600942016.168485
Kraken,xbt/eur,8892.80000,1600942017.350868
Kraken,xbt/eur,8892.90000,1600942019.820234
Kraken,xbt/eur,8893.20000,1600942030.593493
Kraken,eth/eur,282.40000,1600942031.093375
Kraken,xbt/eur,8893.20000,1600942032.622351
Kraken,xbt/eur,8893.20000,1600942035.668309
Kraken,eth/usd,328.01000,1600942036.288154
Kraken,xbt/eur,8895.00000,1600942036.592138
Kraken,xbt/eur,8893.10000,1600942036.914507
Kraken,xbt/eur,8895.00000,1600942039.958747
Kraken,xbt/eur,8895.00000,1600942041.000613
Kraken,xbt/eur,8895.10000,1600942042.991042
Kraken,xbt/eur,8895.20000,1600942045.949547
Kraken,xbt/usd,10327.80000,1600942046.337982
Kraken,xbt/eur,8895.40000,1600942051.466881
Kraken,eth/eur,282.49000,1600942053.088294
Kraken,xbt/eur,8895.50000,1600942054.195441
Kraken,xbt/eur,8895.50000,1600942057.891729
Kraken,xbt/eur,8896.10000,1600942058.335004
